হাউস ২১৪, রোড ১০/এ, পশ্চিম ধানমন্ডি ও শংকর, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ৬৩/১, রোড ২৬, পশ্চিম ধানমন্ডি ও শংকর, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ৪৭/এ, রোড ১৬ (ওল্ড ২৭), ধানমন্ডি, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ৯৬/৫, পুল পার নিউ রোড, জাফরাবাদ, মোহাম্মদপুর, ঢাকা জেলা
হাউস ১২৫/১, সুলতানগঞ্জ রোড – ১স্ট গলি, রায়ের বাজার, হাজারীবাগ থানা, ঢাকা জেলা
হাউস ১৯৫/২, মুক্তি সিনেমা গলি, রায়ের বাজার, হাজারীবাগ থানা, ঢাকা জেলা
হাউস ৩৪, রোড ১৫, ধানমন্ডি, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ১৪৬/২, হাজী আক্তার হোসেন রোড, পশ্চিম ধানমন্ডি ও শংকর, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ৩৭, রোড ১৩/এ, ধানমন্ডি, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ২৭৩/৪, রায়ের বাজার স্টাফ কোয়ার্টার রোড, টাল্লাবাগ, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ১১৭/৩, শের-ই-বাংলা মেইন রোড, রায়ের বাজার, হাজারীবাগ থানা, ঢাকা জেলা
হাউস ২০৬/এ, রোড ৯/এ, পশ্চিম ধানমন্ডি ও শংকর, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ২৭১/৫০, রোড ২৬, পশ্চিম ধানমন্ডি ও শংকর, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ১৫৪, শের-ই-বাংলা মেইন রোড, রায়ের বাজার, হাজারীবাগ থানা, ঢাকা জেলা
হাউস ১০৬/১, , টাল্লাবাগ, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ১২২/এ, রোড ৯/এ, পশ্চিম ধানমন্ডি ও শংকর, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ৮০, রোড ১৬ (ওল্ড ২৭), লালমাটিয়া, মোহাম্মদপুর, ঢাকা জেলা
হাউস ৭৭/এ, রোড ১৩/এ, ধানমন্ডি, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ৯১,৯১/এ-ডি, রোড ৯/এ, পশ্চিম ধানমন্ডি ও শংকর, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ১৪৫/৫৪, হাজী আক্তার হোসেন রোড, পশ্চিম ধানমন্ডি ও শংকর, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ২০৫/এ, রোড ৯/এ, পশ্চিম ধানমন্ডি ও শংকর, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ২৩৩/৩, ঘডি ঘুর গলি, পশ্চিম ধানমন্ডি ও শংকর, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ৭০/ডি(সি), রোড ২৬, পশ্চিম ধানমন্ডি ও শংকর, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ৫০, রোড ৯/এ, পশ্চিম ধানমন্ডি ও শংকর, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ১০৫, রায়ের বাজার স্টাফ কোয়ার্টার রোড, টাল্লাবাগ, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ২৫৫, শাহ সাহেব বারি লেন, টাল্লাবাগ, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ৬৬,৬৬/২, রোড ১২/এ, ধানমন্ডি, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ২৫৬/২, বাংলাসোরর মসজিদ গলি, টাল্লাবাগ, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ২২৮, শের-ই-বাংলা মেইন রোড, পশ্চিম ধানমন্ডি ও শংকর, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ১০৬, চেয়ারম্যান গলি, পশ্চিম ধানমন্ডি ও শংকর, ধানমন্ডি থানা, ঢাকা জেলা
